"Estimate","Std. Error","z value","Pr(>|z|)"
-2.185462324684,0.960297532305212,-2.27581791180672,0.0228569102272103
-0.850504333325067,0.368009549137094,-2.3110931097286,0.0208277124974319
0.0174624845263114,0.00988698939110518,1.76620848223237,0.077360878524006
-0.114600886971366,0.117785857919127,-0.972959648942342,0.330573357156635
0.00201095987984243,0.00203477774733533,0.98829460980488,0.323008384496048
-0.128904394064504,0.116896470457719,-1.10272272173632,0.270147596350788
0.0093740729183116,0.0938971123688354,0.0998334526144903,0.920476549364313
0.821531430516551,0.461425441532839,1.78042074963932,0.0750071284632249
-1.09487484720982e-08,1.63686525699563e-08,-0.668885140380702,0.503568749867807
-4.51964463342222,3.81262762779989,-1.18544087559643,0.235843178331611
0.000542684526198368,0.00218856218160268,0.247963951291967,0.804162298585788
-0.00708212985472123,0.00925724696294265,-0.765036288117995,0.444249936429954
0.010259700354681,0.00758899815422911,1.35191762419438,0.176401668862665
-0.0119509444314133,0.00538669898157237,-2.21860261215577,0.0265137716880841
0.0052872890565915,0.00396200788770489,1.33449735751392,0.182040912300167
0.010012442953069,0.00191436208186813,5.23017199718995,1.69352402291312e-07
